strategy,n,ann_return,ann_vol,sharpe,mdd
MVP,3764,0.023428602949276067,0.023943300873059327,0.9792378824067833,-0.0705888746173382
NLPI[gemma3:270m|P2],3764,0.032903579296428065,0.03464836844090782,0.9517512021262832,-0.07841645867594282
CODED_P2,3764,0.032903579296428065,0.03464836844090782,0.9517512021262832,-0.07841645867594282
NLPI[gemma3:1b|P2],3764,0.032903579296428065,0.03464836844090782,0.9517512021262832,-0.07841645867594282
NLPI[llama3.1:8b|P2],3764,0.028618517334023874,0.032177098577820924,0.8930578660770717,-0.07465979625735475
RiskParity,3764,0.04503442814217551,0.05411769139960628,0.8411358361612966,-0.14599514306962158
NLPI[gemma3:270m|P1],3764,0.11906783182049763,0.15437130159319556,0.8062743066976845,-0.2823489403279774
NLPI[llama3.1:8b|P1],3764,0.10732959429893651,0.14385711144482002,0.7810331941036367,-0.24966662750450863
NLPI[gemma3:1b|P1],3764,0.10682644630954008,0.14326031072773926,0.7807083908993776,-0.31452325293080996
NLPI[gemma3:1b|P4],3764,0.059271451873941894,0.08342666965781566,0.7320986138369966,-0.18776959509898705
NLPI[gemma3:1b|P5],3764,0.059271451873941894,0.08342666965781566,0.7320986138369966,-0.18776959509898705
NLPI[gemma3:270m|P5],3764,0.059271451873941894,0.08342666965781566,0.7320986138369966,-0.18776959509898705
NLPI[llama3.1:8b|P4],3764,0.059271451873941894,0.08342666965781566,0.7320986138369966,-0.18776959509898705
EQUAL,3764,0.059271451873941894,0.08342666965781566,0.7320986138369966,-0.18776959509898705
NLPI[llama3.1:8b|P5],3764,0.059271451873941894,0.08342666965781566,0.7320986138369966,-0.18776959509898705
CODED_P4,3764,0.059271451873941894,0.08342666965781566,0.7320986138369966,-0.18776959509898705
NLPI[gemma3:270m|P4],3764,0.059271451873941894,0.08342666965781566,0.7320986138369966,-0.18776959509898705
SHARPE,3764,0.057512796829121804,0.09003625277442148,0.6663541320747228,-0.21579217074551393
MOM6,3764,0.070173471742637,0.11370199661584598,0.6537481049898781,-0.27928591200216957
CODED_P1,3764,0.08152685684539529,0.14289228205668944,0.6203892080893901,-0.30015829054897236
CODED_P5,3764,0.05508557062885511,0.09440942533678279,0.615418399181148,-0.21734522158683545
NLPI[gemma3:270m|P3],3764,0.07774619504043745,0.1383889703124976,0.6105471118916652,-0.3116364625755145
CODED_P3,3764,0.043423379290988384,0.10058603119690956,0.4729896441225215,-0.2753456188109644
NLPI[gemma3:1b|P3],3764,0.03630464277682388,0.1264717086294021,0.34556029163010765,-0.3151291786340904
NLPI[llama3.1:8b|P3],3764,0.03475986916046758,0.12312011216094865,0.3392900784515991,-0.4234319374449307
