policy,metric,model_a,model_b,wilcoxon_w,p_raw,mean_paired_difference,median_paired_difference,test_status,p_holm
P2,ew_l1_distance,gemma3:270m,llama3.1:8b,1.0,0.00023243237461975812,-0.5706710703987268,-0.5574068611299969,tested,0.0010904537695360338
P2,ew_l1_distance,gemma3:270m,qwen3.5:4b,42.0,0.05757133578815882,0.16172639669906577,0.2807668951724184,tested,0.11514267157631763
P2,ew_l1_distance,llama3.1:8b,qwen3.5:4b,0.0,0.0001940423988164018,0.7323974670977925,0.729304875328014,tested,0.0010904537695360338
P3,top3_overlap,gemma3:1b,gemma3:270m,23.5,0.014971821376078137,0.24074074074074073,0.3333333333333333,tested,0.05988728550431255
P3,top3_overlap,gemma3:1b,llama3.1:8b,17.5,1.0,0.0,0.0,tested,1.0
P3,top3_overlap,gemma3:1b,qwen3.5:4b,32.5,0.6760959080319668,-9.25185853854297e-18,0.0,tested,1.0
P3,top3_overlap,gemma3:270m,llama3.1:8b,14.0,0.009145213494583583,-0.24074074074074073,-0.3333333333333333,tested,0.045726067472917915
P3,top3_overlap,gemma3:270m,qwen3.5:4b,11.5,0.00625721628842956,-0.24074074074074073,-0.3333333333333333,tested,0.03754329773057736
P3,top3_overlap,llama3.1:8b,qwen3.5:4b,31.0,0.9036988601649576,-6.1679056923619804e-18,0.0,tested,1.0
P3,allocation_l1_to_reference,gemma3:1b,gemma3:270m,5.0,7.62939453125e-05,0.22052512812830113,0.24626834212353188,tested,0.0003814697265625
P3,allocation_l1_to_reference,gemma3:1b,llama3.1:8b,23.0,0.0047454833984375,0.1653975936650406,0.2127133836811258,tested,0.0142364501953125
P3,allocation_l1_to_reference,gemma3:1b,qwen3.5:4b,1.0,1.52587890625e-05,0.296582160239132,0.30966914541940116,tested,9.1552734375e-05
P3,allocation_l1_to_reference,gemma3:270m,llama3.1:8b,61.0,0.30379486083984375,-0.05512753446326058,-0.04388206388206384,tested,0.30379486083984375
P3,allocation_l1_to_reference,gemma3:270m,qwen3.5:4b,52.0,0.1443920169989066,0.0760570321108308,0.012280725285161442,tested,0.2887840339978132
P3,allocation_l1_to_reference,llama3.1:8b,qwen3.5:4b,16.0,0.00128936767578125,0.1311845665740914,0.050747487421978654,tested,0.005157470703125
P3,ew_l1_distance,gemma3:1b,gemma3:270m,4.0,0.00038556082804268104,0.5132839110935905,0.419735719397773,tested,0.0015422433121707242
