policy,metric,model,n,mean,sd,median,ci_low,ci_high
P2,projected_fidelity,gemma3:270m,18,0.0,0.0,0.0,0.0,0.0
P2,projected_fidelity,llama3.1:8b,18,0.0,0.0,0.0,0.0,0.0
P2,projected_fidelity,qwen3.5:4b,18,0.0,0.0,0.0,0.0,0.0
P2,top3_overlap,gemma3:1b,18,0.33333333333333326,5.712050337475533e-17,0.3333333333333333,0.33333333333333326,0.33333333333333326
P2,top3_overlap,gemma3:270m,18,0.4259259259259259,0.250634633840706,0.3333333333333333,0.31481481481481477,0.5370370370370369
P2,top3_overlap,llama3.1:8b,18,0.33333333333333326,5.712050337475533e-17,0.3333333333333333,0.33333333333333326,0.33333333333333326
P2,top3_overlap,qwen3.5:4b,18,0.648148148148148,0.07856742013183861,0.6666666666666666,0.611111111111111,0.6666666666666665
P2,allocation_l1_to_reference,gemma3:1b,18,1.4346881565008558,0.07817381915644588,1.4345039244516062,1.39586937280747,1.4621955025706332
P2,allocation_l1_to_reference,gemma3:270m,18,1.2362499355832837,0.1329816417767409,1.2028619138153536,1.1794393787730066,1.2955554707119248
P2,allocation_l1_to_reference,llama3.1:8b,18,1.327794714075206,0.1634586233321319,1.3834697296003826,1.2527725981756315,1.3967826826474854
P2,allocation_l1_to_reference,qwen3.5:4b,18,1.1239518353014808,0.00624183723980348,1.1224806201550384,1.1224806201550384,1.1268942655943661
P2,projection_l1,gemma3:1b,18,9.633738637073976e-17,1.0200251171137894e-16,8.153200337090992e-17,5.635381725309517e-17,1.439401862555262e-16
P2,projection_l1,gemma3:270m,18,1.9883063174303499e-16,1.19501994473904e-16,2.1293730667615199e-16,1.449313277415369e-16,2.507994535429673e-16
P2,projection_l1,llama3.1:8b,18,1.4160885041741227e-16,7.246885685238441e-17,1.214306433183765e-16,1.1033443641752763e-16,1.7423490312566215e-16
P2,projection_l1,qwen3.5:4b,18,3.779769707100576e-16,1.390186031126259e-17,3.747002708109903e-16,3.747002708109903e-16,3.8453037050819217e-16
P2,ew_l1_distance,gemma3:1b,18,0.9811712261363978,0.08156234719339203,0.9841086340466386,0.9405163509419181,1.0091719378042565
P2,ew_l1_distance,gemma3:270m,18,0.4460463539173489,0.38129183644208503,0.5619508275191416,0.2656392523815687,0.6153651940507381
