experiment,outcome,term,fit_status,model_family,formula,coefficient,odds_ratio,se,p_value,ci_low,ci_high,n,clusters,excluded_constant_cells
ticker_masking,projected_fidelity>=0.5,C(policy_id)[T.P2],ok,binomial_logit,success ~ C(model_id) + C(policy_id) + C(mask_condition),-0.2771135347660116,0.7579684364560855,0.33862959186572916,0.41316409243497954,-0.9408153389223384,0.38658826939031526,810,18,P4
ticker_masking,projected_fidelity>=0.5,C(policy_id)[T.P3],ok,binomial_logit,success ~ C(model_id) + C(policy_id) + C(mask_condition),-1.6617054339996191,0.1898149869731788,0.6459320683619132,0.010094655213659844,-2.927709024448433,-0.39570184355080507,810,18,P4
ticker_masking,projected_fidelity>=0.5,C(policy_id)[T.P5],ok,binomial_logit,success ~ C(model_id) + C(policy_id) + C(mask_condition),-0.5011954694304455,0.6058060040884455,0.49582416521212186,0.31209632617760297,-1.472992975910842,0.47060203704995096,810,18,P4
ticker_masking,projected_fidelity>=0.5,C(policy_id)[T.P6],ok,binomial_logit,success ~ C(model_id) + C(policy_id) + C(mask_condition),0.4303543919276462,1.5378024117516278,0.2985034553972713,0.1493851702480599,-0.154701629911764,1.0154104137670563,810,18,P4
ticker_masking,projected_fidelity>=0.5,C(mask_condition)[T.real_ticker],ok,binomial_logit,success ~ C(model_id) + C(policy_id) + C(mask_condition),-1.4296533323081957,0.23939189729701105,0.41289653547912436,0.0005351863544496357,-2.238915671188644,-0.6203909934277473,810,18,P4
ticker_masking,projected_fidelity>=0.5,C(mask_condition)[T.shuffled_masked],ok,binomial_logit,success ~ C(model_id) + C(policy_id) + C(mask_condition),-0.8082838159799621,0.44562218001977716,0.3079314847507674,0.008667899732239666,-1.4118184357974113,-0.20474919616251308,810,18,P4
policy_complexity,projected_fidelity>=0.5,Intercept,ok,binomial_logit,success ~ C(model_id) + C(complexity_level),-2.973944468741801,0.05110134461355797,0.8624604290629726,0.0005643156020018004,-4.664335847796189,-1.2835530896874123,270,18,L1
policy_complexity,projected_fidelity>=0.5,C(model_id)[T.gemma3:270m],ok,binomial_logit,success ~ C(model_id) + C(complexity_level),0.7268005811721219,2.0684521649450147,1.0752846798955142,0.4990948870989177,-1.3807186645507667,2.8343198268950105,270,18,L1
policy_complexity,projected_fidelity>=0.5,C(model_id)[T.llama3.1:8b],ok,binomial_logit,success ~ C(model_id) + C(complexity_level),0.53269352260559,1.7035145896655797,0.5464068481253821,0.329608516643606,-0.5382442206262061,1.6036312658373861,270,18,L1
policy_complexity,projected_fidelity>=0.5,C(complexity_level)[T.L3],ok,binomial_logit,success ~ C(model_id) + C(complexity_level),-0.7314542535531275,0.48120868156558055,0.36248469610693657,0.04360271584108102,-1.4419112028696697,-0.020997304236585523,270,18,L1
