model_id,conflict_type,condition_id,n_calls,mean_projected_fidelity,std_projected_fidelity,mean_raw_fidelity,mean_top3_overlap,mean_allocation_l1,mean_projection_l1,collapse_rate,json_valid_rate,parse_fail_rate,repair_rate,mean_missing_assets,mean_hallucinated_assets,median_latency_sec,mean_latency_sec
gemma3:1b,ambiguous_conflict,ambiguous_conflict_blind,18,0.2777777777777778,0.4608885989624768,0.2777777777777778,0.3888888888888889,1.109447586546532,0.034794146167946974,0.3888888888888889,1.0,0.0,0.0,0.0,0.0,16.31546252098633,16.33766926376201
gemma3:1b,ambiguous_conflict,ambiguous_conflict_reminded,18,0.16666666666666666,0.3834824944236852,0.16666666666666666,0.5,1.1915568643002041,1.8765732602102724e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,16.018756166973617,15.633641305735283
gemma3:1b,budget_conflict,budget_conflict_blind,18,0.2222222222222222,0.42779263194649864,0.2222222222222222,0.4259259259259259,1.2231247928798115,1.338869216111508e-16,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,8.22135064547183,9.238499460612527
gemma3:1b,budget_conflict,budget_conflict_reminded,18,0.16666666666666666,0.3834824944236852,0.16666666666666666,0.4629629629629629,1.1902904989780267,1.281406500969798e-16,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,5.107719375519082,5.26199200004986
gemma3:1b,cap_aligned_60,cap_aligned_60_blind,18,0.2222222222222222,0.42779263194649864,0.2222222222222222,0.4074074074074074,1.3154102092051103,1.876874427480393e-16,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,15.804823791550007,15.434111507014475
gemma3:1b,cap_aligned_60,cap_aligned_60_reminded,18,0.2222222222222222,0.4277926319464986,0.2222222222222222,0.4629629629629629,1.2413266469382882,1.539326151113286e-16,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,14.781960604013875,14.681128041611778
gemma3:1b,cap_conflict,cap_conflict_blind,18,0.2222222222222222,0.42779263194649864,0.2222222222222222,0.4074074074074074,1.2368846111819707,0.13747828880656218,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,15.094672020466533,14.647317631829841
gemma3:1b,cap_conflict,cap_conflict_reminded,18,0.2222222222222222,0.4277926319464986,0.2222222222222222,0.4629629629629629,1.260271547278188,1.3094677613645908e-16,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,15.219362978998106,14.327992726822332
gemma3:1b,cap_mild_conflict_70,cap_mild_conflict_70_blind,18,0.2777777777777778,0.4608885989624768,0.2777777777777778,0.3888888888888889,1.3058309721887498,1.254471794394805e-16,0.0,1.0,0.0,0.0,0.0,0.0,14.711089395510498,14.503541705955286
gemma3:1b,cap_mild_conflict_70,cap_mild_conflict_70_reminded,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.5185185185185185,1.2326203961972595,1.3456153629625447e-16,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,12.63695681252284,13.046073886514124
gemma3:1b,cap_severe_conflict_90,cap_severe_conflict_90_blind,18,0.2222222222222222,0.42779263194649864,0.2222222222222222,0.37037037037037035,1.236620704058945,0.1472857217191225,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,16.323777312471066,15.255012738330858
gemma3:1b,cap_severe_conflict_90,cap_severe_conflict_90_reminded,18,0.16666666666666666,0.3834824944236852,0.16666666666666666,0.48148148148148145,1.250417033135774,0.024145299145299302,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,12.090033145505004,13.114194641213139
gemma3:1b,constraint_contradiction,constraint_contradiction_blind,18,0.2222222222222222,0.42779263194649864,0.2222222222222222,0.4444444444444444,1.1763776015760734,0.004874612750617769,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,16.677771396469325,17.244868208376122
gemma3:1b,constraint_contradiction,constraint_contradiction_reminded,18,0.16666666666666666,0.3834824944236852,0.16666666666666666,0.4444444444444444,1.25563923991833,0.007226778984704238,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,16.60468462551944,15.989490182953887
gemma3:1b,hallucinated_ticker,hallucinated_ticker_blind,18,0.2777777777777778,0.4608885989624768,0.2777777777777778,0.3888888888888889,1.1205230899328764,0.024008042747900717,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,16.183175062469672,15.61897430093571
gemma3:1b,hallucinated_ticker,hallucinated_ticker_reminded,18,0.0,0.0,0.0,0.6481481481481481,1.3965961321333944,1.3336891390652226e-16,0.0,1.0,0.0,0.0,0.0,0.0,11.17418179102242,11.414746486206745
gemma3:1b,missing_asset,missing_asset_blind,18,0.16666666666666666,0.38348249442368526,0.16666666666666666,0.5185185185185185,1.2871664295059455,1.040653385223984e-16,0.0,1.0,0.0,0.0,0.0,0.0,12.45640333299525,12.523695481410767
gemma3:1b,missing_asset,missing_asset_reminded,18,0.0,0.0,0.0,0.6481481481481481,1.3076962419650144,1.4409046872332322e-16,0.0,1.0,0.0,0.0,0.0,0.0,7.153718125016894,8.986714465174979
gemma3:1b,shorting_conflict,shorting_conflict_blind,18,0.0,0.0,0.0,0.6481481481481481,1.1399184285667725,2.91433543964103e-16,0.9444444444444444,1.0,0.0,0.0,0.0,0.0,3.7465716045117006,5.9153347869934
gemma3:1b,shorting_conflict,shorting_conflict_reminded,18,0.0,0.0,0.0,0.6851851851851851,1.1090909090909093,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,12.063652624958195,12.179048166603833
gemma3:1b,sparse_output,sparse_output_blind,18,0.2777777777777778,0.46088859896247675,0.2777777777777778,0.3333333333333333,1.197793624045516,0.017039204609724065,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,16.110842249996495,16.31084943756125
gemma3:1b,sparse_output,sparse_output_reminded,18,0.2222222222222222,0.42779263194649864,0.2222222222222222,0.35185185185185186,1.2195114312728994,1.5732978191844883e-16,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,16.332373291486874,15.693935252338028
gemma3:270m,ambiguous_conflict,ambiguous_conflict_blind,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.25925925925925924,1.1804398143180608,0.008293278465958388,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,6.652626688010059,6.756805620292046
gemma3:270m,ambiguous_conflict,ambiguous_conflict_reminded,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.3888888888888889,1.206419036355018,2.133107540911192e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,7.247010166989639,7.274630189899148
gemma3:270m,budget_conflict,budget_conflict_blind,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.25925925925925924,1.169183007854642,0.005211454390996805,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,5.540097791526932,6.0539393910698385
gemma3:270m,budget_conflict,budget_conflict_reminded,18,0.2222222222222222,0.42779263194649864,0.2222222222222222,0.24074074074074073,1.1827062004678375,0.008293278465958405,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,2.9585066874860786,4.224062407376348
gemma3:270m,cap_aligned_60,cap_aligned_60_blind,18,0.16666666666666666,0.3834824944236852,0.16666666666666666,0.2962962962962963,1.1631229573811104,0.0082932784659584,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,2.5575276669696905,2.5672655880787514
gemma3:270m,cap_aligned_60,cap_aligned_60_reminded,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.537037037037037,1.3537441599207782,2.2526558887911584e-16,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,1.6651905625476502,2.002076349518676
gemma3:270m,cap_conflict,cap_conflict_blind,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.31481481481481477,1.2174751665148031,1.8284467304427599e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,2.7589939165045507,2.9671313470656364
gemma3:270m,cap_conflict,cap_conflict_reminded,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.4074074074074074,1.2527748224252457,1.5747434220811506e-16,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,2.700461187516339,2.485229680502218
gemma3:270m,cap_mild_conflict_70,cap_mild_conflict_70_blind,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.31481481481481477,1.2087134665341834,1.8467577004669578e-16,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,2.651349041494541,2.774400301006002
gemma3:270m,cap_mild_conflict_70,cap_mild_conflict_70_reminded,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.4259259259259259,1.2165284693431881,1.839650152891776e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,2.7531761250575073,2.5379782569555878
gemma3:270m,cap_severe_conflict_90,cap_severe_conflict_90_blind,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.31481481481481477,1.2077058750933345,1.8390478183515046e-16,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,2.679402896494139,2.675822604279448
gemma3:270m,cap_severe_conflict_90,cap_severe_conflict_90_reminded,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.4074074074074074,1.2603979015386915,1.4835499726843212e-16,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,2.711942646012176,2.5001642869384444
gemma3:270m,constraint_contradiction,constraint_contradiction_blind,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.4259259259259259,1.185201341139849,1.8691043119109799e-16,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,6.723950500076171,6.766634689947953
gemma3:270m,constraint_contradiction,constraint_contradiction_reminded,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.37037037037037035,1.2080528014188148,2.1148153938413723e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,6.895957103988621,6.9035873448980665
gemma3:270m,hallucinated_ticker,hallucinated_ticker_blind,18,0.0,0.0,0.0,0.3333333333333333,1.2332231972136902,1.6012461418530285e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,7.084320103516802,6.921261175736112
gemma3:270m,hallucinated_ticker,hallucinated_ticker_reminded,18,0.0,0.0,0.0,0.37037037037037035,1.2305069002515163,2.0788823739234056e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,7.0621604170301,7.060092884387511
