model_id,policy_id,n_calls,mean_projected_fidelity,std_projected_fidelity,mean_raw_fidelity,mean_top3_overlap,mean_allocation_l1,mean_projection_l1,collapse_rate,json_valid_rate,parse_fail_rate,repair_rate,mean_missing_assets,mean_hallucinated_assets,median_latency_sec,mean_latency_sec
gemma3:1b,P1,18,0.0,0.0,0.0,0.6481481481481481,1.308177942741448,1.4399409519688038e-16,0.0,1.0,0.0,0.0,0.0,0.0,11.497456520970445,11.69781798395949
gemma3:1b,P2,18,0.0,0.0,0.0,0.3333333333333333,1.4346881565008558,9.633738637073975e-17,0.0,1.0,0.0,0.0,0.0,0.0,11.74267983296886,11.78394761334251
gemma3:1b,P3,18,0.0,0.0,0.0,0.5925925925925926,1.4251714774762605,1.4531923118547259e-16,0.0,1.0,0.0,0.0,0.0,0.0,12.749659458524548,12.764779916666965
gemma3:1b,P4,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,12.001833041955251,12.205667557770438
gemma3:1b,P5,18,0.0,0.0,0.0,0.12962962962962962,1.294312679129355,1.333508438703141e-16,0.0,1.0,0.0,0.0,0.0,0.0,3.850727375014685,6.893238298730769
gemma3:1b,P6,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.2777777777777778,1.1795477212963519,1.5635701163591649e-16,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,3.8397612505359575,3.8992064236145882
gemma3:270m,P1,18,0.1111111111111111,0.3233808333817773,0.1111111111111111,0.4074074074074074,1.2112751949736118,1.4359655440030115e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,6.022786041547079,5.638560196721098
gemma3:270m,P2,18,0.0,0.0,0.0,0.4259259259259259,1.2362499355832837,1.9883063174303499e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,5.480333583545871,5.2966040832106955
gemma3:270m,P3,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.35185185185185186,1.2046463493479593,1.7220744506311273e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,6.054676687461324,5.545819030110983
gemma3:270m,P4,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,6.2298527919338085,5.965765990834269
gemma3:270m,P5,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.3333333333333333,1.0589968992094443,1.2550091897424552e-16,0.0,1.0,0.0,0.0,0.0,0.0,6.221462333458476,5.9850803010502
gemma3:270m,P6,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.2222222222222222,1.2378038035222576,1.8467577004669507e-16,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,6.614164145954419,6.179022807886617
llama3.1:8b,P1,18,0.0,0.0,0.0,0.6481481481481481,1.26340227213991,2.562090200491273e-16,0.0,1.0,0.0,0.0,0.0,0.0,16.60902310407255,16.792176879619042
llama3.1:8b,P2,18,0.0,0.0,0.0,0.3333333333333333,1.327794714075206,1.4160885041741225e-16,0.0,1.0,0.0,0.0,0.0,0.0,17.040511375060305,16.91612279161604
llama3.1:8b,P3,18,0.0,0.0,0.0,0.5925925925925926,1.2597738838112198,0.04648416532474517,0.0,1.0,0.0,0.0,0.0,0.0,16.5612963126041,16.83722071989905
llama3.1:8b,P4,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,19.25951395847369,18.916137803294177
llama3.1:8b,P5,18,0.05555555555555555,0.2357022603955158,0.05555555555555555,0.18518518518518517,1.1151841499350943,1.334743224510691e-16,0.0,1.0,0.0,0.0,0.0,0.0,16.575769770890474,16.697159740711665
llama3.1:8b,P6,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.3333333333333333,0.9939400191059623,1.296223930660437e-16,0.0,1.0,0.0,0.0,0.0,0.0,16.60242077091243,16.665135143557563
