model_id,complexity_level,n_calls,mean_projected_fidelity,std_projected_fidelity,mean_raw_fidelity,mean_top3_overlap,mean_allocation_l1,mean_projection_l1,collapse_rate,json_valid_rate,parse_fail_rate,repair_rate,mean_missing_assets,mean_hallucinated_assets,median_latency_sec,mean_latency_sec
gemma3:1b,L1,18,0.0,0.0,0.0,0.4074074074074074,1.245080492431414,1.6950898632270497e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,10.42036308295792,10.365973907341766
gemma3:1b,L2,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.18518518518518517,1.357799271882592,1.618834310428888e-16,0.0,1.0,0.0,0.0,0.0,0.0,10.828163958562072,10.805254046371878
gemma3:1b,L3,18,0.0,0.0,0.0,0.1111111111111111,1.4080680745931007,1.9002450076429014e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,14.737912332930136,14.063073053173461
gemma3:1b,L4,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.18518518518518517,1.4298610549684938,1.1878037134118895e-16,0.0,1.0,0.0,0.0,0.0,0.0,12.346991791506298,12.810958976947909
gemma3:1b,L5,18,0.0,0.0,0.0,0.07407407407407407,1.3402614429488937,2.002551529307711e-16,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,15.075266020488924,14.379998574065716
gemma3:1b,L6,18,0.05555555555555555,0.2357022603955158,0.05555555555555555,0.18518518518518517,1.1672566823251591,1.179069862577942e-16,0.0,1.0,0.0,0.0,0.0,0.0,16.41449868748896,15.563895328733553
gemma3:270m,L1,18,0.0,0.0,0.0,0.37037037037037035,1.2943164435691132,1.7872319895247988e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,2.66787977097556,2.479057731663084
gemma3:270m,L2,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.16666666666666666,1.3790614045232776,1.7149518446924418e-16,0.3888888888888889,1.0,0.0,0.0,0.0,0.0,2.6809149789623916,2.680028083456111
gemma3:270m,L3,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.12962962962962962,1.3953405060258026,1.8156621798255388e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,2.712718708498869,2.7102669608882732
gemma3:270m,L4,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.1111111111111111,1.4342135837201404,0.044444444444444585,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,2.6612464375211857,2.6625711619465924
gemma3:270m,L5,18,0.05555555555555555,0.2357022603955158,0.05555555555555555,0.05555555555555555,1.360770865409889,1.6735865201394184e-16,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,2.7168925830628723,2.7133247522934756
gemma3:270m,L6,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.2037037037037037,1.2312863275935726,1.9832617656555795e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,2.70116322953254,2.702344037094412
llama3.1:8b,L1,18,0.0,0.0,0.0,0.3333333333333333,1.310117148873588,0.016607202523934928,0.0,1.0,0.0,0.0,0.0,0.0,64.77878712513484,65.4571289352607
llama3.1:8b,L2,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.18518518518518517,1.502780612993695,0.0004179728317660781,0.0,1.0,0.0,0.0,0.0,0.0,77.34764616645407,77.89237882873405
llama3.1:8b,L3,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.25925925925925924,1.2637898951953916,1.2962239306604444e-16,0.0,1.0,0.0,0.0,0.0,0.0,76.76247972960118,60.5253165325331
llama3.1:8b,L4,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.2037037037037037,1.549609719783321,1.6865367127550875e-16,0.0,1.0,0.0,0.0,0.0,0.0,26.094082563067786,27.212272326371426
llama3.1:8b,L5,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.09259259259259259,1.2912478295221936,1.4827067043279337e-16,0.0,1.0,0.0,0.0,0.0,0.0,18.546274437452666,22.51003054867033
llama3.1:8b,L6,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.35185185185185186,0.9301051166603871,1.2596019906119837e-16,0.0,1.0,0.0,0.0,0.0,0.0,22.679242479614913,24.201327298612643
