model_id,policy_id,mask_condition,n_calls,mean_projected_fidelity,std_projected_fidelity,mean_raw_fidelity,mean_top3_overlap,mean_allocation_l1,mean_projection_l1,collapse_rate,json_valid_rate,parse_fail_rate,repair_rate,mean_missing_assets,mean_hallucinated_assets,median_latency_sec,mean_latency_sec
gemma3:1b,P1,masked_ticker,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.48148148148148145,1.223920596555157,1.0380633467008407e-16,0.0,1.0,0.0,0.0,0.0,0.0,13.97769439552212,14.241128863333465
gemma3:1b,P1,real_ticker,18,0.0,0.0,0.0,0.6481481481481481,1.308177942741448,1.4399409519688038e-16,0.0,1.0,0.0,0.0,0.0,0.0,11.6123233124963,11.56122056028754
gemma3:1b,P1,shuffled_masked,18,0.2777777777777778,0.4608885989624768,0.2777777777777778,0.4074074074074074,1.2219541020052875,1.0169816377913778e-16,0.0,1.0,0.0,0.0,0.0,0.0,17.67725106253056,17.44327558339703
gemma3:1b,P2,masked_ticker,18,0.0,0.0,0.0,0.2962962962962963,1.2376536364009572,1.4717442156950452e-16,0.0,1.0,0.0,0.0,0.0,0.0,14.138521208544262,13.975532245447134
gemma3:1b,P2,real_ticker,18,0.0,0.0,0.0,0.3333333333333333,1.4346881565008558,9.633738637073975e-17,0.0,1.0,0.0,0.0,0.0,0.0,12.108645895554218,11.993504657287202
gemma3:1b,P2,shuffled_masked,18,0.0,0.0,0.0,0.31481481481481477,1.1584090856873857,1.8585634574562624e-16,0.0,1.0,0.0,0.0,0.0,0.0,14.396889458002988,14.358372178187388
gemma3:1b,P3,masked_ticker,18,0.0,0.0,0.0,0.5555555555555556,1.279988524769539,1.2918871219705056e-16,0.0,1.0,0.0,0.0,0.0,0.0,13.790005020506214,13.716304238348837
gemma3:1b,P3,real_ticker,18,0.0,0.0,0.0,0.5925925925925926,1.4251714774762605,1.4531923118547259e-16,0.0,1.0,0.0,0.0,0.0,0.0,11.521452416549439,12.414455810070244
gemma3:1b,P3,shuffled_masked,18,0.0,0.0,0.0,0.5,1.1469624617427745,1.5236654530662955e-16,0.0,1.0,0.0,0.0,0.0,0.0,13.692430207971483,13.616543546338411
gemma3:1b,P4,masked_ticker,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,13.28863766649738,13.514510435162164
gemma3:1b,P4,real_ticker,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,12.120475000527222,12.284864185332683
gemma3:1b,P4,shuffled_masked,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,13.127931458468083,13.449881426052242
gemma3:1b,P5,masked_ticker,18,0.0,0.0,0.0,0.14814814814814814,1.1574100499725708,1.528965997020669e-16,0.0,1.0,0.0,0.0,0.0,0.0,12.849990833550692,10.463282558019273
gemma3:1b,P5,real_ticker,18,0.0,0.0,0.0,0.12962962962962962,1.294312679129355,1.333508438703141e-16,0.0,1.0,0.0,0.0,0.0,0.0,12.333365208527539,12.5151883841738
gemma3:1b,P5,shuffled_masked,18,0.0,0.0,0.0,0.2037037037037037,1.0940527152735484,1.26056572587648e-16,0.0,1.0,0.0,0.0,0.0,0.0,4.409893896023277,4.590171793883201
gemma3:1b,P6,masked_ticker,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.2777777777777778,1.0771995646583281,1.8539857149502116e-16,0.0,1.0,0.0,0.0,0.0,0.0,14.607576333510224,12.245820266323992
gemma3:1b,P6,real_ticker,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.2777777777777778,1.1795477212963519,1.5635701163591649e-16,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,5.216719374991953,5.56828203928631
gemma3:1b,P6,shuffled_masked,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.18518518518518517,1.1117070643981433,1.0933576574975946e-16,0.0,1.0,0.0,0.0,0.0,0.0,10.043636750022415,12.080477097395082
gemma3:270m,P1,masked_ticker,18,0.05555555555555555,0.2357022603955158,0.05555555555555555,0.2222222222222222,1.202241117293072,1.5732997014799493e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,2.6815520000527613,2.50263820144917
gemma3:270m,P1,real_ticker,18,0.1111111111111111,0.3233808333817773,0.1111111111111111,0.4074074074074074,1.2112751949736118,1.4359655440030115e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,2.3849629584583454,2.1794063287670724
gemma3:270m,P1,shuffled_masked,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.31481481481481477,1.2040232913087927,1.345253962238401e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,2.671489812550135,2.4924083704956703
gemma3:270m,P2,masked_ticker,18,0.0,0.0,0.0,0.24074074074074073,1.2638333150205392,1.6354587437403485e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,2.6895363744697534,2.455412881772241
gemma3:270m,P2,real_ticker,18,0.0,0.0,0.0,0.4259259259259259,1.2362499355832837,1.9883063174303499e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,2.392016687488649,2.1844210717245005
gemma3:270m,P2,shuffled_masked,18,0.0,0.0,0.0,0.2222222222222222,1.307103562675317,1.1835949008117572e-16,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,2.676316771481652,2.594770962922161
gemma3:270m,P3,masked_ticker,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.25925925925925924,1.2089564966586002,1.4998130052716107e-16,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,2.6997664165101014,2.5112224698338346
gemma3:270m,P3,real_ticker,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.35185185185185186,1.2046463493479593,1.7220744506311273e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,2.3862672295072116,2.1846455255096466
gemma3:270m,P3,shuffled_masked,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.2222222222222222,1.253774335677719,1.6689485441793457e-16,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,2.686086041445378,2.5979154212529667
gemma3:270m,P4,masked_ticker,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,2.6748352290014736,2.484175120273398
gemma3:270m,P4,real_ticker,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,2.397652354033198,2.264906826202706
gemma3:270m,P4,shuffled_masked,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,2.7473668130114675,2.7487393981557235
gemma3:270m,P5,masked_ticker,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.2222222222222222,1.3052743270227476,6.550990459973398e-17,0.0,1.0,0.0,0.0,0.0,0.0,2.723925104015507,2.510835210728045
gemma3:270m,P5,real_ticker,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.3333333333333333,1.0589968992094443,1.2550091897424552e-16,0.0,1.0,0.0,0.0,0.0,0.0,2.395657042041421,2.2596493704606675
gemma3:270m,P5,shuffled_masked,18,0.0,0.0,0.0,0.12962962962962962,1.268707101531802,1.3834758534093813e-16,0.0,1.0,0.0,0.0,0.0,0.0,2.6994923960301094,2.5169942801132694
gemma3:270m,P6,masked_ticker,18,0.0,0.0,0.0,0.2037037037037037,1.1298392037799772,1.685572977490789e-16,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,2.6948821045225486,2.430444199126214
gemma3:270m,P6,real_ticker,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.2222222222222222,1.2378038035222576,1.8467577004669507e-16,0.2222222222222222,1.0,0.0,0.0,0.0,0.0,2.6540930625633337,2.4463679721682436
gemma3:270m,P6,shuffled_masked,18,0.05555555555555555,0.23570226039551584,0.05555555555555555,0.12962962962962962,1.3669766225006006,1.461263594694341e-16,0.0,1.0,0.0,0.0,0.0,0.0,2.695497979526408,2.55638373150335
llama3.1:8b,P1,masked_ticker,18,0.16666666666666666,0.3834824944236852,0.16666666666666666,0.4629629629629629,1.210798985253814,0.09797979797979814,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,18.38191735406872,18.99846880571244
llama3.1:8b,P1,real_ticker,18,0.0,0.0,0.0,0.6481481481481481,1.26340227213991,2.562090200491273e-16,0.0,1.0,0.0,0.0,0.0,0.0,16.589864083449356,16.790835180526805
llama3.1:8b,P1,shuffled_masked,18,0.0,0.0,0.0,0.6666666666666666,1.2806342507627215,1.1187761750969862e-16,0.0,1.0,0.0,0.0,0.0,0.0,22.39433099993039,25.734048192117672
llama3.1:8b,P2,masked_ticker,18,0.6111111111111112,0.5016313257045503,0.6111111111111112,0.7407407407407408,0.5269633269633269,0.48888888888888915,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,20.256986396037973,20.392006523234564
llama3.1:8b,P2,real_ticker,18,0.0,0.0,0.0,0.3333333333333333,1.327794714075206,1.4160885041741225e-16,0.0,1.0,0.0,0.0,0.0,0.0,18.417804667027667,18.58240814583324
llama3.1:8b,P2,shuffled_masked,18,0.0,0.0,0.0,0.3333333333333333,1.374398043499273,2.328550040865222e-16,0.0,1.0,0.0,0.0,0.0,0.0,20.099352708552033,20.16737856023893
llama3.1:8b,P3,masked_ticker,18,0.0,0.0,0.0,0.25925925925925924,1.4837358175593467,0.17777777777777798,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,19.358791041537188,19.597878351833465
llama3.1:8b,P3,real_ticker,18,0.0,0.0,0.0,0.5925925925925926,1.2597738838112198,0.04648416532474517,0.0,1.0,0.0,0.0,0.0,0.0,18.297479708096944,18.33957595371693
llama3.1:8b,P3,shuffled_masked,18,0.0,0.0,0.0,0.574074074074074,1.2322366618239162,2.349586574684128e-16,0.0,1.0,0.0,0.0,0.0,0.0,32.814511458505876,34.56778233573358
llama3.1:8b,P4,masked_ticker,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,94.87779260403477,95.71365978934854
llama3.1:8b,P4,real_ticker,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,74.90421187493484,75.04677765961323
llama3.1:8b,P4,shuffled_masked,18,1.0,0.0,1.0,1.0,0.0,3.05311331771918e-16,1.0,1.0,0.0,0.0,0.0,0.0,69.53513897955418,63.052402342643795
llama3.1:8b,P5,masked_ticker,18,0.2222222222222222,0.4277926319464987,0.2222222222222222,0.4074074074074074,0.8912171290831732,1.3029700775114488e-16,0.0,1.0,0.0,0.0,0.0,0.0,81.99570474994835,82.55976515048597
llama3.1:8b,P5,real_ticker,18,0.05555555555555555,0.2357022603955158,0.05555555555555555,0.18518518518518517,1.1151841499350943,1.334743224510691e-16,0.0,1.0,0.0,0.0,0.0,0.0,76.42430356249679,77.12127148600605
llama3.1:8b,P5,shuffled_masked,18,0.1111111111111111,0.32338083338177726,0.1111111111111111,0.2777777777777778,1.0619319571747348,1.0521245641991151e-16,0.0,1.0,0.0,0.0,0.0,0.0,53.330117520992644,50.28412344675356
