model_id,policy_id,n_calls,mean_projected_fidelity,std_projected_fidelity,mean_raw_fidelity,mean_top3_overlap,mean_allocation_l1,mean_projection_l1,collapse_rate,json_valid_rate,parse_fail_rate,repair_rate,mean_missing_assets,mean_hallucinated_assets,median_latency_sec,mean_latency_sec
gemma3:1b,P1,180,0.2111111111111111,0.4092354076448748,0.2111111111111111,0.5222222222222223,1.248454520262352,0.002831467319508576,0.1,1.0,0.0,0.0,0.0,0.0,13.252192416985054,12.775072078010352
gemma3:1b,P2,180,0.0,0.0,0.0,0.24444444444444444,1.4084847947784036,1.460418067583408e-16,0.10555555555555556,1.0,0.0,0.0,0.0,0.0,15.559562333044596,15.123491809288842
gemma3:1b,P3,180,0.0,0.0,0.0,0.45370370370370366,1.2977569933022703,0.006177285189736454,0.2388888888888889,1.0,0.0,0.0,0.0,0.0,13.23230610403698,13.088071083577557
gemma3:1b,P4,90,0.7444444444444445,0.43861659721311447,0.7444444444444445,0.6703703703703703,0.5815702284292193,0.008232349585641488,0.34444444444444444,1.0,0.0,0.0,0.0,0.0,12.752107542008162,13.114000774118015
gemma3:1b,P5,180,0.05,0.21855288405438997,0.05,0.2759259259259259,1.1284973436331924,0.0018328009311563917,0.14444444444444443,1.0,0.0,0.0,0.0,0.0,16.596410604484845,15.819124058776975
gemma3:1b,P6,108,0.07407407407407407,0.2631123459879528,0.07407407407407407,0.2345679012345679,1.1915418752586342,0.019544490700009704,0.14814814814814814,1.0,0.0,0.0,0.0,0.0,11.817942729510833,10.947732967605893
gemma3:270m,P1,180,0.06666666666666667,0.2501396258137336,0.06666666666666667,0.3759259259259259,1.2149401977635168,0.010478554370489614,0.2611111111111111,1.0,0.011111111111111112,0.10555555555555556,2.3222222222222224,0.43333333333333335,2.681740582920611,4.954962291653242
gemma3:270m,P2,180,0.011111111111111112,0.10511440369749678,0.011111111111111112,0.28888888888888886,1.3225176129577962,0.033599094650898734,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,2.676914228941314,2.5498769553145393
gemma3:270m,P3,180,0.06111111111111111,0.24020217017632828,0.06111111111111111,0.26296296296296295,1.24523487388828,0.014485778576924345,0.17222222222222222,1.0,0.0,0.0,0.0,0.0,2.6788333955337293,2.600257056276961
gemma3:270m,P4,90,0.4,0.49264249635357593,0.4,0.5111111111111111,0.5345073493777622,0.03555555555555574,0.35555555555555557,1.0,0.0,0.0,0.0,0.0,2.664049312530551,2.5142520546137046
gemma3:270m,P5,180,0.05,0.21855288405438994,0.05,0.30925925925925923,1.103538719887191,1.6327068278094767e-16,0.18888888888888888,1.0,0.0,0.0,0.0,0.0,2.689823749475181,2.6306257930597186
gemma3:270m,P6,108,0.046296296296296294,0.21110564566352602,0.046296296296296294,0.19135802469135801,1.2507685121855827,0.016197027892474684,0.23148148148148148,1.0,0.0,0.0,0.0,0.0,2.6882945830002427,2.6059355196668075
llama3.1:8b,P1,180,0.15555555555555556,0.3634444502323809,0.15555555555555556,0.6277777777777778,1.2663812926710303,0.023894107412367728,0.10555555555555556,1.0,0.0,0.0,0.0,0.0,18.288198750000447,32.38929177034103
llama3.1:8b,P2,180,0.0,0.0,0.0,0.34629629629629627,1.4293624142515897,0.0049879454481119734,0.11666666666666667,1.0,0.0,0.0,0.0,0.0,17.87534760404378,37.47788025369971
llama3.1:8b,P3,180,0.0,0.0,0.0,0.5722222222222222,1.3268115660021875,0.0420417682078505,0.35,1.0,0.0,0.0,0.0,0.0,56.01410489552654,50.109104771046745
llama3.1:8b,P4,90,0.8666666666666667,0.34183904485045247,0.8666666666666667,0.9148148148148147,0.08866075091582876,2.7633181237046067e-16,0.8555555555555555,1.0,0.0,0.0,0.0,0.0,18.367413999978453,25.37491079723566
llama3.1:8b,P5,180,0.005555555555555556,0.07453559924999296,0.005555555555555556,0.14259259259259258,1.204733986890016,1.5789236237906152e-16,0.0,1.0,0.0,0.0,0.0,0.0,16.537449499592185,16.52081975180966
llama3.1:8b,P6,108,0.12037037037037036,0.32691113407342054,0.12037037037037036,0.3333333333333333,1.0690489529350524,1.5221407937611966e-16,0.0,1.0,0.0,0.0,0.0,0.0,16.54761737550143,16.437628510459845
