strategy,JSON_valid_rate,Repair_rate,Parse_fail_rate,Avg_projection_L1,Avg_projection_L2,Cap_clip_freq,Turnover_clip_freq,Avg_entropy,Avg_herfindahl,Equal_collapse_rate,Neg_weight_per_step,Over_cap_per_step,Hallucinated_ticker_per_call,Missing_asset_per_call,Invalid_weight_per_call,Negative_weight_per_call,Equal_fallback_rate,Avg_latency_sec,n_calls,n_steps,strategy_key,fold
LLMStrategy,1.0,0.0,0.0,0.0028704676581118678,0.0014690086577829249,0.44285714285714284,0.0,1.89204076948766,0.3671773855158067,0.0,0.0,0.44285714285714284,0.0,0.0,0.0,0.0,0.0,4.99279122227583,18,70,NLPI[gemma3:1b|P1],1
LLMStrategy,1.0,0.0,0.0,0.000913442201966057,0.00046746895032252794,0.34285714285714286,0.0,1.8934810755239864,0.3666907362571213,0.0,0.0,0.34285714285714286,0.0,0.0,0.0,0.0,0.0,4.959314733774388,18,70,NLPI[gemma3:1b|P2],1
LLMStrategy,1.0,0.0,0.0,0.0016754404423199106,0.0008574339823728987,0.35714285714285715,0.0,1.895399746142635,0.3660497874913248,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,4.988125372608516,18,70,NLPI[gemma3:1b|P3],1
LLMStrategy,1.0,0.0,0.0,8.762831730077128e-17,1.8796138295899733e-17,0.0,0.0,3.090763166607058,0.045479916654814094,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.24541111572277,18,70,NLPI[gemma3:1b|P4],1
LLMStrategy,1.0,0.0,0.0,8.762831730077128e-17,1.8796138295899733e-17,0.0,0.0,3.090763166607058,0.045479916654814094,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.321624791726612,18,70,NLPI[gemma3:1b|P5],1
EqStrategy,,,,1.2836953722228372e-16,2.7582574996579047e-17,0.0,0.0,3.0907922453369334,0.045477198925270794,0.6730769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,EQUAL,2
RiskParityStrategy,,,,6.70098897005898e-17,1.6399538854338418e-17,0.0,0.0,2.955581925591766,0.05856007918158582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,RiskParity,2
LWMVPStrategy,,,,0.06868882530850909,0.05316265337350159,0.3,0.14285714285714285,1.3246417796279246,0.41482974262645766,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,70,MVP,2
Momentum6mStrategy,,,,5.838600093675877e-17,1.589556294496501e-17,0.0,0.22857142857142856,2.4714408906458947,0.0864642073623128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,MOM6,2
SharpeWeightedStrategy,,,,7.621476614498918e-17,1.910660583595478e-17,0.0,0.24285714285714285,2.503133438905187,0.1011016513438186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,SHARPE,2
CodedPersonaStrategy,,,,0.0005048507205171067,0.00025836559322718145,0.038461538461538464,0.3076923076923077,1.9970199520196457,0.3233941752730874,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P1,2
CodedPersonaStrategy,,,,0.001308618366926628,0.0006697068003244333,0.11538461538461539,0.0,1.8943369388021347,0.3664068836359434,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P2,2
CodedPersonaStrategy,,,,0.0005906393446344267,0.00030226932132231704,0.019230769230769232,0.3269230769230769,2.0845616244873644,0.2953849284786185,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P3,2
CodedPersonaStrategy,,,,1.2836953722228372e-16,2.7582574996579047e-17,0.0,0.0,3.0907922453369334,0.045477198925270794,0.6730769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P4,2
CodedPersonaStrategy,,,,0.02547601274630111,0.013037765182388833,0.04285714285714286,0.24285714285714285,2.405338575545544,0.13869761339297693,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0,70,CODED_P5,2
LLMStrategy,1.0,0.0,0.0,0.005708929578212549,0.0029216378569419596,0.2571428571428571,0.2,1.9678910441576964,0.3264855249998718,0.0,0.0,0.2571428571428571,0.0,0.8333333333333334,0.0,0.0,0.0,18.085849175834383,18,70,NLPI[llama3.1:8b|P1],2
LLMStrategy,1.0,0.0,0.0,0.01770852535710058,0.009062626778822639,0.34285714285714286,0.0,1.860225310326349,0.36767688178017954,0.0,0.0,0.34285714285714286,0.0,2.5555555555555554,0.0,0.0,0.0,16.844936002391883,18,70,NLPI[llama3.1:8b|P2],2
LLMStrategy,1.0,0.0,0.0,0.0016140787386943987,0.0008260311293822422,0.32857142857142857,0.0,1.9006194475197222,0.3643257611753639,0.0,0.0,0.32857142857142857,0.0,0.0,0.0,0.0,0.0,18.435605018559727,18,70,NLPI[llama3.1:8b|P3],2
LLMStrategy,1.0,0.0,0.0,9.536022765083933e-17,2.048991285460158e-17,0.0,0.0,3.0908565845424305,0.04547137374708427,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.077133965109372,18,70,NLPI[llama3.1:8b|P4],2
LLMStrategy,1.0,0.0,0.0,9.536022765083933e-17,2.048991285460158e-17,0.0,0.0,3.0908565845424305,0.04547137374708427,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.65852537489425,18,70,NLPI[llama3.1:8b|P5],2
LLMStrategy,1.0,0.0,0.0,0.003759510741530436,0.0019239909610996476,0.38571428571428573,0.0,1.8937017686228903,0.3666308040705438,0.0,0.0,0.38571428571428573,0.0,0.0,0.0,0.0,0.0,1.9961553587749625,18,70,NLPI[gemma3:270m|P1],2
LLMStrategy,1.0,0.0,0.0,0.0012809968100258315,0.0006555710179148782,0.34285714285714286,0.0,1.8934327482212332,0.36671858294588455,0.0,0.0,0.34285714285714286,0.0,0.0,0.0,0.0,0.0,1.9376646226672973,18,70,NLPI[gemma3:270m|P2],2
LLMStrategy,1.0,0.0,0.0,0.002308786809091033,0.001181559319069507,0.32857142857142857,0.0,1.894626366001719,0.3663198746359328,0.0,0.0,0.32857142857142857,0.0,0.0,0.0,0.0,0.0,1.969372761500482,18,70,NLPI[gemma3:270m|P3],2
LLMStrategy,1.0,0.0,0.0,9.536022765083933e-17,2.048991285460158e-17,0.0,0.0,3.0908565845424305,0.04547137374708427,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.127190154999779,18,70,NLPI[gemma3:270m|P4],2
LLMStrategy,1.0,0.0,0.0,9.536022765083933e-17,2.048991285460158e-17,0.0,0.0,3.0908565845424305,0.04547137374708427,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.131369891223989,18,70,NLPI[gemma3:270m|P5],2
LLMStrategy,1.0,0.0,0.0,1.6127971973795801e-16,7.504982500420446e-17,0.0,0.0,1.795980901217253,0.29188238454481685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.969226685163449,18,70,NLPI[gemma3:1b|P1],2
LLMStrategy,1.0,0.0,0.0,0.0012809968100258315,0.0006555710179148782,0.34285714285714286,0.0,1.8934327482212332,0.36671858294588455,0.0,0.0,0.34285714285714286,0.0,0.0,0.0,0.0,0.0,4.8541512059988845,18,70,NLPI[gemma3:1b|P2],2
LLMStrategy,1.0,0.0,0.0,1.7160017160062896e-05,8.781918759670571e-06,0.014285714285714285,0.014285714285714285,1.8051268218875065,0.2942393455296316,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,4.883105928333761,18,70,NLPI[gemma3:1b|P3],2
LLMStrategy,1.0,0.0,0.0,9.536022765083933e-17,2.048991285460158e-17,0.0,0.0,3.0908565845424305,0.04547137374708427,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.138501712830879,18,70,NLPI[gemma3:1b|P4],2
LLMStrategy,1.0,0.0,0.0,9.536022765083933e-17,2.048991285460158e-17,0.0,0.0,3.0908565845424305,0.04547137374708427,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1916522893346455,18,70,NLPI[gemma3:1b|P5],2
EqStrategy,,,,1.1622647289044608e-16,2.5085530572574623e-17,0.0,0.0,3.090799488744245,0.04547664633949589,0.6730769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,EQUAL,3
RiskParityStrategy,,,,8.574490324113933e-17,2.014967043761968e-17,0.0,0.0,2.964412952564253,0.05733117960138764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,RiskParity,3
LWMVPStrategy,,,,0.09563739413283685,0.06513729819648402,0.3142857142857143,0.12857142857142856,1.4662228940398259,0.40340656745006215,0.0,0.0,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0,70,MVP,3
Momentum6mStrategy,,,,4.8769779016000765e-17,1.391077341082065e-17,0.0,0.18571428571428572,2.467916341149248,0.08660371223964829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70,MOM6,3
SharpeWeightedStrategy,,,,0.004674645544782534,0.0023923261277463133,0.02857142857142857,0.24285714285714285,2.4251510608766482,0.13454540422492045,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0,70,SHARPE,3
CodedPersonaStrategy,,,,2.5769212541413895e-05,1.3187814961279373e-05,0.019230769230769232,0.3076923076923077,2.056534096268421,0.30348832516788565,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P1,3
CodedPersonaStrategy,,,,0.0007205839864843633,0.0003687706119292976,0.09615384615384616,0.0,1.894588983329371,0.36632289289736525,0.0,0.0,0.09615384615384616,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P2,3
CodedPersonaStrategy,,,,0.0009329015915901322,0.0004774276104565978,0.019230769230769232,0.3269230769230769,2.0623088053717558,0.3020184070744261,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P3,3
CodedPersonaStrategy,,,,1.1622647289044608e-16,2.5085530572574623e-17,0.0,0.0,3.090799488744245,0.04547664633949589,0.6730769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,52,CODED_P4,3
CodedPersonaStrategy,,,,0.0016511155029469567,0.000844985297769928,0.014285714285714285,0.24285714285714285,2.3906621201281295,0.1315814642727855,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,70,CODED_P5,3
LLMStrategy,1.0,0.0,0.0,0.10336074316825429,0.052896546721211704,0.3142857142857143,0.014285714285714285,1.8642673408129988,0.3670714791379705,0.0,0.0,0.3142857142857143,0.0,11.38888888888889,0.0,0.0,0.0,13.709872058049465,18,70,NLPI[llama3.1:8b|P1],3
LLMStrategy,1.0,0.0,0.0,0.023653807047474135,0.012105221685417684,0.37142857142857144,0.014285714285714285,1.8592601421093575,0.36795329648692676,0.0,0.0,0.37142857142857144,0.0,3.3333333333333335,0.0,0.0,0.0,16.460879911945085,18,70,NLPI[llama3.1:8b|P2],3
LLMStrategy,1.0,0.0,0.0,0.1708564614256682,0.08743858178062688,0.37142857142857144,0.0,1.8817517397698553,0.36643142629096975,0.0,0.0,0.37142857142857144,0.0,17.77777777777778,0.0,0.0,0.0,9.922913576387348,18,70,NLPI[llama3.1:8b|P3],3
LLMStrategy,1.0,0.0,0.0,8.633966557575994e-17,1.8634965568198292e-17,0.0,0.0,3.0908619653592915,0.04547096325479435,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.047099055609173,18,70,NLPI[llama3.1:8b|P4],3
LLMStrategy,1.0,0.0,0.0,8.633966557575994e-17,1.8634965568198292e-17,0.0,0.0,3.0908619653592915,0.04547096325479435,0.7571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.686061273167272,18,70,NLPI[llama3.1:8b|P5],3
