name,Sharpe,Sortino,Vol,CAGR,MDD,CUM,ANN,TO
EQUAL,0.7320012021526652,1.136581648287976,0.08341561030628339,0.0592552516543432,-0.18776959509898716,1.363313062162839,0.0592552516543432,0.006047996686555041
RiskParity,0.8410238401368395,1.3013342565209836,0.05411052224884893,0.04502220149673053,-0.1459951430696228,0.9308313130671968,0.04502220149673053,0.006169710566424933
MVP,0.9791073685429461,1.5069059853993987,0.023940132196813582,0.023422307899817252,-0.07058887461733865,0.41326851386600394,0.023422307899817252,0.0069021074952574386
MOM6,0.6536611558925847,0.9762901090427246,0.11368691734657911,0.07015419436605486,-0.2792859120021699,1.7538647726944538,0.07015419436605486,0.010729857405975218
SHARPE,0.6662655005196958,0.9933908584474046,0.09002431286880282,0.05749709021717919,-0.2157921707455137,1.3053800281003536,0.05749709021717919,0.010522362031130977
CODED_P1,0.620306709654026,0.9313095821929402,0.14287332834230881,0.08150434356881253,-0.30015829054897225,2.2240259438174124,0.08150434356881253,0.010675072806144293
CODED_P2,0.9516243783412008,1.4897466322883821,0.03464378207788914,0.03289469777798604,-0.07841645867594293,0.6218252255482866,0.03289469777798604,0.0035484046150966605
CODED_P3,0.4729267868395005,0.7528160909944541,0.10057268058226887,0.04341159906092362,-0.27534561881096464,0.8868455518958545,0.04341159906092362,0.011837632113573252
CODED_P4,0.7320012021526652,1.136581648287976,0.08341561030628339,0.0592552516543432,-0.18776959509898716,1.363313062162839,0.0592552516543432,0.006047996686555041
CODED_P5,0.615336563749118,0.9254136839121664,0.09439690224641668,0.05507054399888367,-0.21734522158683567,1.2275972433040754,0.05507054399888367,0.010589861701841289
NLPI[llama3.1:8b|P1],0.7809292407941417,1.227211203058633,0.1438380468219551,0.1072996096471428,-0.24966662750450863,3.5850320105279927,0.1072996096471428,0.010078204133199768
NLPI[llama3.1:8b|P2],0.8929389143262716,1.4275826843707005,0.032172837497510196,0.028610808418545908,-0.07465979625735308,0.5241826758842045,0.028610808418545908,0.00510153444236527
NLPI[llama3.1:8b|P3],0.33924500840222926,0.5299465790010454,0.12310376358830032,0.03475047820365962,-0.42343193744493013,0.6659097237473024,0.03475047820365962,0.006583989993981333
NLPI[llama3.1:8b|P4],0.7320012021526652,1.136581648287976,0.08341561030628339,0.0592552516543432,-0.18776959509898716,1.363313062162839,0.0592552516543432,0.006047996686555041
NLPI[llama3.1:8b|P5],0.7320012021526652,1.136581648287976,0.08341561030628339,0.0592552516543432,-0.18776959509898716,1.363313062162839,0.0592552516543432,0.006047996686555041
NLPI[gemma3:270m|P1],0.8061669768414267,1.2938168809312682,0.15435084684011952,0.11903439521352799,-0.2823489403279773,4.367155574669921,0.11903439521352799,0.006262818308054428
NLPI[gemma3:270m|P2],0.9516243783412008,1.4897466322883821,0.03464378207788914,0.03289469777798604,-0.07841645867594293,0.6218252255482866,0.03289469777798604,0.0035484046150966605
NLPI[gemma3:270m|P3],0.6104659261421964,0.964881704838259,0.13837061304891682,0.07772476284514696,-0.3116364625755137,2.0597287998993306,0.07772476284514696,0.006055839657718526
NLPI[gemma3:270m|P4],0.7320012021526652,1.136581648287976,0.08341561030628339,0.0592552516543432,-0.18776959509898716,1.363313062162839,0.0592552516543432,0.006047996686555041
NLPI[gemma3:270m|P5],0.7320012021526652,1.136581648287976,0.08341561030628339,0.0592552516543432,-0.18776959509898716,1.363313062162839,0.0592552516543432,0.006047996686555041
NLPI[gemma3:1b|P1],0.7806044810290016,1.1975100490205228,0.14324132515741841,0.10679660888642961,-0.3145232529308096,3.554012444260084,0.10679660888642961,0.006726018793040416
NLPI[gemma3:1b|P2],0.9516243783412008,1.4897466322883821,0.03464378207788914,0.03289469777798604,-0.07841645867594293,0.6218252255482866,0.03289469777798604,0.0035484046150966605
NLPI[gemma3:1b|P3],0.34551438788651756,0.5249327322931249,0.12645491529939262,0.03629482719969168,-0.3151291786340876,0.7034458322813666,0.03629482719969168,0.005873439734032428
NLPI[gemma3:1b|P4],0.7320012021526652,1.136581648287976,0.08341561030628339,0.0592552516543432,-0.18776959509898716,1.363313062162839,0.0592552516543432,0.006047996686555041
NLPI[gemma3:1b|P5],0.7320012021526652,1.136581648287976,0.08341561030628339,0.0592552516543432,-0.18776959509898716,1.363313062162839,0.0592552516543432,0.006047996686555041
