Fold,Strategy,Sharpe,Sortino,CAGR,Vol,MDD,TO
1,EQUAL,0.565295845665252,0.9000507248424117,0.04579424324684367,0.08571272341889516,-0.09636187384474437,0.006640957561434716
1,RiskParity,0.8287856919908527,1.333212589433762,0.039763740711178386,0.04846869900442441,-0.061570646842982524,0.006505910512650159
1,MVP,0.23839657323048866,0.34575939722685967,0.004597264624164099,0.020085554401154438,-0.029091562390630377,0.006296980709934886
1,MOM6,0.5395655247409753,0.8144922871721104,0.05747912304833824,0.11610984966936812,-0.16672865661093628,0.011133169903611222
1,SHARPE,0.7179747115596575,1.1086310074110146,0.07016569151574181,0.1016719579281419,-0.13816468537431104,0.01114325205868036
1,CODED_P1,0.398465850380403,0.5670543081641115,0.05939391214590062,0.19105863106043283,-0.30015829054897225,0.011583715961275075
1,CODED_P2,0.5463484947802639,0.8683167366137832,0.01901495778274187,0.03563966410843237,-0.0412131902283035,0.003811701229321022
1,CODED_P3,0.01056341520320033,0.01603633465326784,-0.006664608213037937,0.12650257995067987,-0.2549864123114063,0.01303982738538858
1,CODED_P4,0.565295845665252,0.9000507248424117,0.04579424324684367,0.08571272341889516,-0.09636187384474437,0.006640957561434716
1,CODED_P5,0.5864436700171842,0.9120540021975918,0.06218743823110229,0.11397442171796902,-0.15781382209121764,0.011242274353202138
1,NLPI[llama3.1:8b|P1],0.7073487104463777,1.07953601266414,0.07981810067088846,0.11853311878141154,-0.15809290131965703,0.010369599792672613
1,NLPI[llama3.1:8b|P2],0.5463484947802639,0.8683167366137832,0.01901495778274187,0.03563966410843237,-0.0412131902283035,0.003811701229321022
1,NLPI[llama3.1:8b|P3],0.10876205816781788,0.16520824842530943,0.005856504059286838,0.11973955929886705,-0.15597868889511646,0.004784341086332115
1,NLPI[llama3.1:8b|P4],0.565295845665252,0.9000507248424117,0.04579424324684367,0.08571272341889516,-0.09636187384474437,0.006640957561434716
1,NLPI[llama3.1:8b|P5],0.565295845665252,0.9000507248424117,0.04579424324684367,0.08571272341889516,-0.09636187384474437,0.006640957561434716
1,NLPI[gemma3:270m|P1],0.8770063778789529,1.3834010118308517,0.1093193151191112,0.1276132122569186,-0.14870484406473827,0.004130179602213668
1,NLPI[gemma3:270m|P2],0.5463484947802639,0.8683167366137832,0.01901495778274187,0.03563966410843237,-0.0412131902283035,0.003811701229321022
1,NLPI[gemma3:270m|P3],0.5063305222171461,0.876312716698142,0.030930426304081715,0.06423296914281011,-0.08650316132797864,0.005522449867321579
1,NLPI[gemma3:270m|P4],0.565295845665252,0.9000507248424117,0.04579424324684367,0.08571272341889516,-0.09636187384474437,0.006640957561434716
1,NLPI[gemma3:270m|P5],0.565295845665252,0.9000507248424117,0.04579424324684367,0.08571272341889516,-0.09636187384474437,0.006640957561434716
1,NLPI[gemma3:1b|P1],0.8770063778789529,1.3834010118308517,0.1093193151191112,0.1276132122569186,-0.14870484406473827,0.004130179602213668
